hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title
5.0,5.0,7.0,6.0,3.0,5.0,4.0,7.0,6.0,3.0,7.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,Amateur Qualifier (The Oaks GC) - Kyle Nickerson Scorecard | WSGA
4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,9.0,3.0,6.0,5.0,5.0,7.0,7.0,Amateur Qualifier (The Oaks GC) - Steve Hermsen Scorecard | WSGA
5.0,6.0,6.0,6.0,3.0,6.0,4.0,5.0,8.0,4.0,5.0,5.0,5.0,7.0,6.0,7.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Mitch Halbach Scorecard | WSGA
10.0,4.0,6.0,4.0,4.0,6.0,4.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,5.0,6.0,6.0,Amateur Qualifier (The Oaks GC) - Ryan Batterman Scorecard | WSGA
4.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,Match Play Qualifier #2 - Austin Kendziorski Scorecard | WSGA
5.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,Match Play Qualifier #2 - Matt Sieg Scorecard | WSGA
5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,Match Play Qualifier #2 - Brady Thomas Scorecard | WSGA
4.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,Match Play Qualifier #2 - Derek Pirkl Scorecard | WSGA
4.0,4.0,6.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,5.0,Match Play Qualifier #2 - Michael Immekus Scorecard | WSGA
5.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,7.0,Match Play Qualifier #2 - Nate Thomson Scorecard | WSGA
4.0,4.0,5.0,6.0,3.0,5.0,3.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,6.0,Match Play Qualifier #2 - Nick Corban Scorecard | WSGA
4.0,3.0,6.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,6.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,Match Play Qualifier #2 - Chazz Huston Scorecard | WSGA
5.0,3.0,5.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,6.0,6.0,4.0,3.0,4.0,Match Play Qualifier #2 - Bryan Benishek Scorecard | WSGA
3.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,Match Play Qualifier #2 - Eric Goldapske Scorecard | WSGA
4.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,6.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,6.0,Match Play Qualifier #2 - Justin Rowe Scorecard | WSGA
3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,7.0,4.0,4.0,3.0,5.0,Match Play Qualifier #2 - Joshua Haunty Scorecard | WSGA
4.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,Match Play Qualifier #2 - Bentley Glass Scorecard | WSGA
4.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,2.0,5.0,6.0,4.0,3.0,5.0,Match Play Qualifier #2 - Colton Duwe Scorecard | WSGA
6.0,2.0,5.0,5.0,4.0,5.0,3.0,6.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,Match Play Qualifier #2 - Connor Thiel Scorecard | WSGA
3.0,4.0,4.0,5.0,4.0,6.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,Match Play Qualifier #2 - Nathan Kannenberg Scorecard | WSGA
5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,7.0,5.0,3.0,5.0,Match Play Qualifier #2 - Adam Fazio Scorecard | WSGA
4.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,Match Play Qualifier #2 - Alec Winston Scorecard | WSGA
5.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,6.0,4.0,4.0,4.0,5.0,6.0,2.0,5.0,Match Play Qualifier #2 - Ethan Geidel Scorecard | WSGA
3.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,6.0,Match Play Qualifier #2 - Mitchell Steiner Scorecard | WSGA
7.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,6.0,Match Play Qualifier #2 - Matthew Davidson Scorecard | WSGA
4.0,4.0,5.0,6.0,2.0,6.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,Match Play Qualifier #2 - Ben Nichols Scorecard | WSGA
5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,6.0,3.0,5.0,7.0,4.0,3.0,4.0,Match Play Qualifier #2 - Andrew Knoll Scorecard | WSGA
4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,6.0,Match Play Qualifier #2 - Tom Schoewe Scorecard | WSGA
4.0,2.0,5.0,5.0,3.0,4.0,5.0,6.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,6.0,Match Play Qualifier #2 - Tyler LaDuc Scorecard | WSGA
